device: NVIDIA H200
target memory GB: 8.0
matmul_size: 8192
step=2500, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=2510, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=2520, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=2530, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=2540, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=2550, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=2560, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=2570, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=2580, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=2590, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=2600, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=2610, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=2620, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=2630, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=2640, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=2650, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=2660, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=2670, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=2680, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=2690, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=2700, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=2710, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=2720, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=2730, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=2740, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=2750, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=2760, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=2770, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=2780, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=2790, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=2800, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=2810, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=2820, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=2830, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=2840, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=2850, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=2860, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=2870, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=2880, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=2890, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=2900, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=2910, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=2920, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=2930, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=2940, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=2950, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=2960, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=2970, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=2980, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=2990, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=3000, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=3010, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=3020, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=3030, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=3040, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=3050, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=3060, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=3070, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=3080, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=3090, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=3100, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=3110, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=3120, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=3130, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=3140, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=3150, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=3160, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=3170, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=3180, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=3190, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=3200, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=3210, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=3220, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=3230, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=3240, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=3250, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=3260, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=3270, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=3280, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=3290, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=3300, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=3310, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=3320, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=3330, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=3340, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=3350, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=3360, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=3370, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=3380, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=3390, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=3400, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=3410, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=3420, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=3430, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=3440, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=3450, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=3460, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=3470, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=3480, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=3490, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=3500, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=3510, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=3520, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=3530, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=3540, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=3550, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=3560, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=3570, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=3580, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=3590, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=3600, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=3610, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=3620, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=3630, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=3640, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=3650, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=3660, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=3670, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=3680, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=3690, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=3700, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=3710, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=3720, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=3730, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=3740, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=3750, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=3760, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=3770, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=3780, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=3790, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=3800, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=3810, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=3820, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=3830, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=3840, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=3850, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=3860, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=3870, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=3880, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=3890, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=3900, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=3910, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=3920, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=3930, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=3940, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=3950, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=3960, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=3970, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=3980, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=3990, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=4000, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=4010, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=4020, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=4030, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=4040, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=4050, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=4060, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=4070, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=4080, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=4090, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=4100, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=4110, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=4120, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=4130, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=4140, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=4150, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=4160, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=4170, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=4180, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=4190, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=4200, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=4210, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=4220, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=4230, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=4240, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=4250, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=4260, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=4270, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=4280, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=4290, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=4300, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=4310, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=4320, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=4330, value=0.006285, allocated=8.41GB, reserved=8.91GB
step=4340, value=0.006285, allocated=8.41GB, reserved=8.91GB
