device: NVIDIA H200
target memory GB: 16.0
matmul_size: 16384
inner_iters: 20
step=468, allocated=17.53GB, reserved=17.53GB
step=469, allocated=17.53GB, reserved=17.53GB
step=470, allocated=17.53GB, reserved=17.53GB
step=471, allocated=17.53GB, reserved=17.53GB
step=472, allocated=17.53GB, reserved=17.53GB
step=473, allocated=17.53GB, reserved=17.53GB
step=474, allocated=17.53GB, reserved=17.53GB
step=475, allocated=17.53GB, reserved=17.53GB
step=476, allocated=17.53GB, reserved=17.53GB
step=477, allocated=17.53GB, reserved=17.53GB
step=478, allocated=17.53GB, reserved=17.53GB
step=479, allocated=17.53GB, reserved=17.53GB
step=480, allocated=17.53GB, reserved=17.53GB
step=481, allocated=17.53GB, reserved=17.53GB
step=482, allocated=17.53GB, reserved=17.53GB
step=483, allocated=17.53GB, reserved=17.53GB
step=484, allocated=17.53GB, reserved=17.53GB
step=485, allocated=17.53GB, reserved=17.53GB
step=486, allocated=17.53GB, reserved=17.53GB
step=487, allocated=17.53GB, reserved=17.53GB
step=488, allocated=17.53GB, reserved=17.53GB
step=489, allocated=17.53GB, reserved=17.53GB
step=490, allocated=17.53GB, reserved=17.53GB
step=491, allocated=17.53GB, reserved=17.53GB
step=492, allocated=17.53GB, reserved=17.53GB
step=493, allocated=17.53GB, reserved=17.53GB
step=494, allocated=17.53GB, reserved=17.53GB
step=495, allocated=17.53GB, reserved=17.53GB
step=496, allocated=17.53GB, reserved=17.53GB
step=497, allocated=17.53GB, reserved=17.53GB
step=498, allocated=17.53GB, reserved=17.53GB
step=499, allocated=17.53GB, reserved=17.53GB
step=500, allocated=17.53GB, reserved=17.53GB
step=501, allocated=17.53GB, reserved=17.53GB
step=502, allocated=17.53GB, reserved=17.53GB
step=503, allocated=17.53GB, reserved=17.53GB
step=504, allocated=17.53GB, reserved=17.53GB
step=505, allocated=17.53GB, reserved=17.53GB
step=506, allocated=17.53GB, reserved=17.53GB
step=507, allocated=17.53GB, reserved=17.53GB
step=508, allocated=17.53GB, reserved=17.53GB
step=509, allocated=17.53GB, reserved=17.53GB
step=510, allocated=17.53GB, reserved=17.53GB
step=511, allocated=17.53GB, reserved=17.53GB
step=512, allocated=17.53GB, reserved=17.53GB
step=513, allocated=17.53GB, reserved=17.53GB
